,0
heart$anatomical_structure$rubs$finding,1
colonic mucosa$anatomical_structure,1
antibodies$laboratory_data$negative$modifier,1
hypertensive nephropathy$problem,1
restored$procedure,1
atorvastatin$medicine,1
ileus$problem,1
degenerative disc disease$problem,1
perforation$problem,1
anesthesia$procedure,34
abdomen$anatomical_structure$nondistended$modifier$benign$modifier$soft$modifier$nontender$modifier,1
basal cell cancer$problem$left$modifier$cheek$anatomical_structure,1
bactrim$medicine,4
lymph nodes$anatomical_structure,2
stone$problem,4
wt$body_measurement$65$measurement_value,1
increased$modifier$weakness$finding,1
serum sodium$laboratory_data,1
lasix$medicine,5
oxygen$medicine,1
chronic$modifier$a-fib$problem,1
abnormalities$problem,2
meniscal injury$problem,1
neck$anatomical_structure$pain$problem,2
primary open-angle glaucoma$problem$well controlled$modifier,1
right$modifier$parotid$anatomical_structure$mass$problem,1
ear canals$anatomical_structure,1
vomiting$problem,63
active$modifier$infection$problem,1
hammertoe$problem,1
focal weakness$problem,1
adjacent$modifier$fat necrosis$problem,1
right$modifier$posterolateral thoracotomy$procedure,1
esophageal mucosa$anatomical_structure$normal$modifier,1
fetal heart rate tracing$procedure$category 1$modifier,1
left$modifier$eye$anatomical_structure$prepped and draped$procedure,1
cardiac masses$problem,1
pseudomonas$problem,3
friable area$finding$left$modifier$antihelix area$anatomical_structure,1
nodule$problem$scalp$anatomical_structure,1
weight$body_measurement$7$measurement_value$160$measurement_value,1
left$modifier$turbinate$anatomical_structure,1
sternum$anatomical_structure$stable$modifier,1
heart$anatomical_structure$audible murmur$problem,1
her-2/neu$laboratory_data$negative$modifier,2
blood pressure medications$medicine,1
diabetes$problem$well controlled$modifier,1
aspiration pneumonia$problem,12
complete tear$problem,1
lumbar epidural myelogram$procedure,1
ureteroscope$medical_device,2
cbc$body_measurement,22
several$modifier$small$modifier$subacute$modifier$lacunar infarcts$problem$centrum semiovale$anatomical_structure$bilaterally$modifier,1
significant$modifier$mitral valve disease$problem,1
ms$problem$exacerbation$modifier,1
negative$modifier$lymph nodes$anatomical_structure,1
radiation$procedure,5
bilateral$modifier$aspiration pneumonia$problem,1
heart rate$body_measurement$79$measurement_value,1
bicornuate$problem$uterus$anatomical_structure,1
albumin$laboratory_data,3
tongue depressor$medical_device,1
morbidly obese$problem,1
biaxin$medicine,1
four$modifier$stents$medical_device,1
ldl$laboratory_data,1
nephrogenic pulmonary edema$problem,1
lower$modifier$leg$anatomical_structure$abcess$problem,1
malignant melanoma$problem,1
carvedilol$medicine,2
left$modifier$above-the-knee amputation$procedure,1
lactose intolerance$problem,1
dorsalis pedis$body_measurement,1
lesion$problem$right coronary artery$anatomical_structure,1
colonoscopy screening$procedure,1
normal$modifier$motor function$body_function,1
pulse$body_measurement$16$measurement_value,1
rapid ventricular rate$body_measurement$116$measurement_value,1
lubricating drop$medicine,1
temperature$body_measurement$99.3$measurement_value,1
tylenol$medicine,7
reglan$medicine,2
lungs$anatomical_structure$wheezing$problem,1
reconstructive surgery$procedure$ligaments$anatomical_structure,1
sinus$anatomical_structure$congestion$problem,1
trace$modifier$corneal guttata$problem,1
carotid$anatomical_structure$findings$finding,1
constipation$problem,11
uterus$anatomical_structure$firm$modifier,1
gross$modifier$fracture$problem$membranes$anatomical_structure,1
cortical$anatomical_structure$cataract$problem,2
surgical intervention$procedure,1
abdomen$anatomical_structure$scaphoid$modifier,1
herpes 2$problem,1
chills$finding,20
progressive$modifier$deterioration$problem,1
mouth$anatomical_structure$dry$modifier,1
serum free light chains$procedure,1
aleve$medicine,1
groshong catheter$medical_device,1
hta$procedure,1
foot$anatomical_structure$surgery$procedure,1
cystoscoped$medical_device,1
hip$anatomical_structure$surgery$procedure,1
lower$modifier$extremities$anatomical_structure$amputation$procedure,1
hot biopsy forceps$medical_device,1
chest$anatomical_structure$retractions$problem,1
controlled$modifier$ventricular response$finding,1
nose$anatomical_structure$bilateral$modifier$septal deviation$problem,1
transient$modifier$tachypnea$finding,1
lungs$anatomical_structure$wheeze$problem,1
enlarged$finding$spleen$anatomical_structure,1
normal$modifier$ileocecal valve$anatomical_structure,1
flow cytometry$procedure,1
chronic$modifier$respiratory failure$problem$vent dependent$modifier,1
anisometropia$problem,1
electrolytes$laboratory_data$worse$modifier,1
ct$procedure$abdomen$anatomical_structure,3
fatty changes$finding$liver$anatomical_structure,1
lochial discharge$finding,1
senokot$medicine,1
gastrointestinal prophylaxis$procedure,1
left$modifier$partial mastectomy$procedure,4
foot$anatomical_structure$prepped and draped$procedure,1
calf veins$anatomical_structure,1
probably$modifier$pneumonia$problem,1
duoneb treatment$medicine,1
respirator$medical_device,2
monarch injector$medical_device,2
difficulty of breathing$problem,1
colon$anatomical_structure$cancer screening$procedure,2
abdomen$anatomical_structure$nontender$modifier$nondistended$modifier,6
pedicles$anatomical_structure,1
accelerating angina$problem,1
resting heart rate$body_measurement,1
positive$modifier$nitrites$laboratory_data,1
chronic kidney disease$problem$stage ii to iii$modifier,1
mild$modifier$corneal drying$problem,1
posterior$modifier$capsule$anatomical_structure,1
severe$modifier$systolic dysfunction$problem,1
rotator cuff tears$problem,1
holter monitor$medical_device,4
adequate$modifier$prophylaxis$procedure,1
oral intubation$procedure,1
abnormal foci$problem,1
lungs$anatomical_structure$symmetrical$modifier,1
ulcers$problem,5
repeat$modifier$echo$procedure,1
antiemetic$medicine,1
effient$medicine,1
problems$problem$gi system$anatomical_structure,1
pc$procedure$lad$anatomical_structure,1
postnasal drip$problem,1
heent$anatomical_structure$palpable$modifier$mass$problem,1
baseline$modifier$creatinine$laboratory_data,2
serum ana$laboratory_data$negative$modifier,1
fetal membranes$anatomical_structure$translucent$finding,1
chronic$modifier$sinusitis$problem,5
some$modifier$nausea$problem,3
omega fish oil$medicine,1
vancomycin resistant enterococcus$problem,1
discharges$finding,1
urinary tract$anatomical_structure$infection$problem,10
neupogen$medicine$discontinued$modifier,1
significant$modifier$left$modifier$knee$anatomical_structure$pain$problem$worsening$modifier,1
recent$modifier$surgery$procedure,1
small$modifier$pinkish clot$problem,1
radial styloid process$anatomical_structure,1
generalized malaise$problem,1
schizophrenia$problem,4
ulcer$problem$full thickness$modifier$proximal$modifier$phalanx$anatomical_structure,1
cortical cataract$problem$right$modifier$eye$anatomical_structure,5
dry gauze dressing$medical_device,1
heart$anatomical_structure$regular$modifier$murmurs$problem,2
esmarch$medical_device,1
face mask$medical_device,1
external$modifier$oblique fascia$anatomical_structure$incised$procedure,1
malignancy$problem,6
acute myocardial infarction$problem,4
blood sugar$body_measurement,6
normal$modifier$ferritin$laboratory_data,1
svg$procedure$om$anatomical_structure$posterior$modifier$lateral$modifier,1
ciprofloxacin$medicine,1
seizure prophylaxis$procedure,1
incontinence$problem,1
squamous differentiation$problem,1
oral pain medications$medicine,2
asthma$problem,8
methicillin-resistant staphylococcus aureus$problem,1
heart$anatomical_structure$murmur$problem,5
normal$modifier$vessels$anatomical_structure,1
medication$medicine,15
distal$modifier$sensations$body_function$intact$modifier,1
profound$modifier$left-sided$modifier$weakness$finding,1
gi complaints$problem,2
significantly$modifier$reduction$modifier$discomfort$problem,1
abdominal infection$problem,1
coronary artery$anatomical_structure$bypass$modifier$grafting$procedure,1
atrial$anatomical_structure$fibrillation$problem,22
lesion$problem$axillary lymph nodes$anatomical_structure,1
possible$modifier$severe$modifier$pulmonary hypertension$problem,1
rigidity$problem,1
metastatic disease$problem$brain$anatomical_structure,1
mitral valve replacement$procedure,2
diastolic dysfunction$problem$chronic$modifier,1
cardiac$problem,1
edema$problem$diminished$modifier,1
cardioversion$procedure,7
neck$anatomical_structure$supple$modifier$masses$problem,1
intact$modifier$cranial nerves$anatomical_structure,1
nausea$problem,59
two$modifier$diminutive polyps$problem$distal$modifier$ascending colon$anatomical_structure,1
ears$anatomical_structure,9
normal$modifier$maculae$anatomical_structure,1
kidney function$body_function$improving$modifier,1
acute$modifier$exacerbation$modifier$shortness of breath$problem,1
foramen ovale$anatomical_structure,1
k-complexes$finding,1
erosive gastritis$problem,1
pulse ox$body_measurement$97$measurement_value,1
small$modifier$heart attack$problem,1
bands$laboratory_data,2
diabetic retinopathy$problem,1
pedal$anatomical_structure$edema$problem,1
erosions$problem$antrum$anatomical_structure,1
mucosa$anatomical_structure$tan$modifier$unremarkable$modifier,1
tenderness$problem,9
t-piece$medical_device,3
bypass$procedure,2
upper$modifier$rectum$anatomical_structure$normal$modifier$lower$modifier$rectal abnormalities$problem,1
dried cerumen$finding$canals$anatomical_structure,1
unna boot$medical_device,1
septra allergy$problem,1
worsening$modifier$right$modifier$hip$anatomical_structure$pain$problem,1
severe$modifier$headache$problem,1
vaginal canal$anatomical_structure,1
axillary lymph node$anatomical_structure$dissection$procedure,2
klebsiella pneumonia$problem,2
fetal surface$anatomical_structure$unremarkable$modifier$vascularity$finding,1
significant$modifier$hypomagnesemia$problem,1
reduction$procedure$l1$anatomical_structure,1
inflammatory changes$problem$terminal ileum$anatomical_structure,1
clonazepam$medicine,1
biopsy$procedure$right$modifier$supraclavicular node$anatomical_structure,1
vertebral tenderness$problem,1
alcoholism$problem,1
anesthetic complications$problem,1
sepsis syndrome$problem,1
small size spot$finding,1
thick saliva$finding,1
right$modifier$ulnar nerves$anatomical_structure,1
granulomas$problem,1
reduction$procedure$t12$anatomical_structure,1
abdominal swelling$problem,1
l1$anatomical_structure$compression fracture$problem,2
left$modifier$hand$anatomical_structure$wound$problem,1
hypoxemia$problem,2
abdominal aortic aneurysm$problem,2
hernia$problem,2
pco2$body_measurement,1
fiberoptic bronchoscopy$procedure,2
continue$modifier$regular$modifier$insulin sliding scale$medicine,1
blood loss$problem,1
hiatal hernia$problem,8
temp$body_measurement$97.2$measurement_value,1
visual acuity$finding$left$modifier$eye$anatomical_structure,2
denies$modifier$complaints$problem,1
throat$anatomical_structure$mild$modifier$erythema$problem,1
single$modifier$raised$modifier$bland-looking$modifier$polyp$problem,1
swelling$problem$knees$anatomical_structure$bilaterally$modifier,1
hodgkin's disease$problem,1
carpentier-edwards annuloplasty ring$medical_device,1
vallecula$anatomical_structure$cyst$problem,1
lysis of adhesions$procedure,1
chest$anatomical_structure$pressure$problem,3
vascular rhythm$body_function,1
tympanic membranes$anatomical_structure$clear$modifier,1
abnormal movements$problem,2
oxycontin$medicine,3
tract$anatomical_structure$proximally$modifier,1
current$modifier$medications$medicine,12
bleed$problem,1
djd$problem,2
blood pressure$body_measurement$stable$modifier,2
blood pressure$body_measurement$high$modifier,2
some$modifier$pain$problem$left$modifier$ear$anatomical_structure,1
kidneys$anatomical_structure,1
capillary refill$body_measurement,1
dementia$problem,13
necrotic$problem$tissue$anatomical_structure,1
right$modifier$ankle$anatomical_structure$fracture$problem,1
ovary$anatomical_structure,1
severe$modifier$copd$problem,3
avodart$medicine,1
silk sutures$medical_device,1
ischemic$problem$right$modifier$foot$anatomical_structure,1
chronic$modifier$respiratory failure$problem,6
creatinine$laboratory_data,26
stenosis$problem$lumbar spine$anatomical_structure,1
wound$problem$hip$anatomical_structure,1
percutaneous coronary intervention$procedure,1
beige tissue$finding,2
possibility$modifier$congestive hepatopathy$problem,1
temperature$body_measurement$98.5$measurement_value,1
manual wheelchair$medical_device,1
neck$anatomical_structure$supple$modifier$thyromegaly$problem,2
bladder$anatomical_structure$soft$modifier$decompressed$finding,1
benign tumor$problem$neck$anatomical_structure,1
regular$modifier$rhythm and rate$body_function,1
melatonin$medicine,1
popliteal block$procedure$left$modifier$leg$anatomical_structure,1
skin$anatomical_structure$cyanosis$problem,1
residual$modifier$cortex$anatomical_structure$automated bimanual irrigation and aspiration$procedure,1
moderate$modifier$mitral regurgitation$problem,2
extended-spectrum beta-lactamase$laboratory_data,1
urine infection$problem,1
repeat$modifier$cesarean delivery$procedure,2
sterile gloves$medical_device,1
obstructive$modifier$sleep apnea$problem,3
blood pressure$body_measurement$80/60$measurement_value,1
continue$modifier$peridex$medicine,1
cardioembolic stroke$problem,1
heartburn$problem,1
infiltration$procedure$tonsillar bed$anatomical_structure,1
ascending colon$anatomical_structure$focally hemorrhagic tan biopsies$procedure,1
isosorbide$medicine,2
crackles$problem,2
insertion$procedure,1
upper$modifier$gi bleed$problem,1
precervical incision$procedure,1
normal$modifier$ejection fraction$body_function,2
canals$anatomical_structure,1
temperature$body_measurement$97.2$measurement_value,2
rebound tenderness$problem,2
nonischemic dilated cardiomyopathy$problem,1
middle$modifier$thyroid vein$anatomical_structure,1
resp$body_measurement$12$measurement_value,1
tachycardia$finding,7
thrombocytopenia$problem$resolved$modifier,1
pain$problem$foot$anatomical_structure,1
gtt$laboratory_data$normal$modifier,1
ventricular pacemaker$medical_device,1
total laparoscopic hysterectomy$procedure,4
breast$anatomical_structure$ca$problem,1
wbc count$laboratory_data,3
afib$problem,1
gastroesophageal reflux disease$problem,6
additional$modifier$resection$procedure$breast$anatomical_structure,1
bleeding$problem,40
heart rate$body_measurement$66$measurement_value,2
adjuvant therapy$procedure,1
left$modifier$ventricular contractility$finding,1
acute$modifier$alcohol intoxication$problem,1
left$modifier$index finger$anatomical_structure,1
left$modifier$lower$modifier$foot$anatomical_structure$draped$procedure,1
bright red$modifier$mild$modifier$bulging$problem,1
degenerative joint$anatomical_structure$disease$problem,3
right$modifier$jugular tunnel catheter$medical_device,1
bowel incontinence$problem,1
anesthetized$procedure,7
nasal$finding,1
recurrent$modifier$cellulitis$problem$right$modifier$upper$modifier$extremity$anatomical_structure,1
left$modifier$lower$modifier$extremity$anatomical_structure$deep vein thrombosis$problem,1
mild$modifier$cognitive disorder$problem,1
continue$modifier$diltiazem$medicine,1
blood pressure$body_measurement$114/68$measurement_value,1
pulse ox$body_measurement$99%$measurement_value,2
calcinosis$problem$bilateral$modifier$lower$modifier$extremities$anatomical_structure,1
ruptured$problem$membranes$anatomical_structure,1
hemorrhagic necrosis$problem,1
shoulders$anatomical_structure,1
cr$procedure$chest$anatomical_structure,1
blood pressure$body_measurement$143/76$measurement_value,1
extremities$anatomical_structure$peripheral edema$problem,2
multislice helical scan$procedure$head$anatomical_structure,1
laparoscopic$modifier$appendectomy$procedure,2
superficial$modifier$tender burn$problem$chin$anatomical_structure,1
gravid$finding$abdomen$anatomical_structure,1
polyp$problem$appendiceal orifice$anatomical_structure,1
s1$body_function$regular$modifier,1
rate$body_measurement$regular$modifier,1
placement$procedure,2
direct laryngoscopy$procedure,2
normal$modifier$duodenum$anatomical_structure,1
middle$modifier$turbinate$anatomical_structure,1
maxillary sinuses$anatomical_structure,1
acute tubular necrosis$problem$resolving$modifier,1
significant$modifier$scarring$problem$ostium$anatomical_structure$maxillary sinus$anatomical_structure,1
alcohol abuse$problem,1
jvd$problem$elevated$modifier,1
intermediate-to-high$modifier$pulmonary embolism$problem,1
arteriosclerotic cardiovascular disease$problem,1
self-retaining retractor$medical_device,1
interpretation$procedure,1
bradyarrhythmias$problem,1
emg voiding study$procedure,1
left$modifier$ear$anatomical_structure$desquamation$finding,1
tumor infiltrates$problem,1
colonoscopy$procedure$cecum$anatomical_structure$mass lesions$problem$mucosa$anatomical_structure,1
blood pressure$body_measurement$elevated$modifier$178/86$measurement_value,1
nsaids$medicine,2
chamber$anatomical_structure$leaks$finding,1
g-tube placement$procedure,2
encephalopathy$problem,7
tendon$anatomical_structure,2
ribs$anatomical_structure,1
bone$anatomical_structure,1
venous graft$procedure,1
underlying$modifier$mental illness$problem,1
crp$laboratory_data,6
crohn's disease$problem,1
femur$anatomical_structure$fracture$problem$healing$modifier,1
cataract$problem,3
adenoidectomy$procedure,5
benign$modifier$inflammation$problem$epiploic fat$anatomical_structure,1
erectile function$body_function$poor$modifier,1
significant$modifier$low$modifier$back$anatomical_structure$pain$problem,1
sentinel lymph node$anatomical_structure,1
anesthesia$procedure$topical$modifier,10
ventilatory-dependent respiratory failure$problem,1
unstable gait$problem,1
vasovagal reaction$problem,1
cpap$procedure,1
focal erosion$problem$numerous$modifier$neutrophils$anatomical_structure,1
respiratory rate$body_measurement$24$measurement_value,2
short rotators$medical_device,1
doppler$procedure$negative$modifier,1
sigmoid$anatomical_structure$biopsy$procedure,1
lower$modifier$extremities$anatomical_structure,1
palpable$modifier$organomegaly$problem,3
flomax$medicine,3
pseudophakia$problem$right$modifier$eye$anatomical_structure,2
worsening$modifier$anemia$problem$normochromic$modifier$normocytic$modifier,1
perineum$anatomical_structure$lacerations$problem,1
taxotere$medicine,1
esophageal dilatation$procedure,1
wt$body_measurement$45$measurement_value,1
slightly$modifier$disoriented$problem,1
thyroid$anatomical_structure$tenderness$problem,1
single$modifier$pvc$problem,1
bowel sounds$body_function$minimally$modifier$hyperactive$finding$present$modifier,1
bilateral endoscopic anterior ethmoidectomies$procedure,1
left$modifier$knee$anatomical_structure$replacement$procedure,1
endovascular stent repair$procedure,1
iv fluid$medicine$decreased$modifier,1
left$modifier$eye$anatomical_structure$progressive$modifier$cataract formation$problem,1
ulcerations$problem,2
aneurysm$problem,2
placental villi$anatomical_structure,1
fallopian tube$anatomical_structure,2
tamoxifen$medicine,1
wire$medical_device,4
lens implantation$procedure$right$modifier$eye$anatomical_structure,1
reduced$modifier$norvasc$medicine,1
biopsies$procedure$proximal$modifier$ge junction$anatomical_structure,1
quinton catheter$medical_device,1
mb$laboratory_data,1
pectoral major muscle fascia$anatomical_structure$split$finding,1
sedated$procedure,2
ostomy$procedure,1
benign tumor$problem,1
mildly to moderately$modifier$trabeculated$problem,1
atypical pain$problem,1
gastroenteritis$problem,1
foley catheter indwelling$finding,1
crp$laboratory_data$high$modifier,1
blood pressure$body_measurement$125/80$measurement_value,1
blood pressure$body_measurement$140/90$measurement_value,1
amnionic$anatomical_structure,1
nystatin$medicine,1
appendicitis$problem,2
suspected$modifier$peripheral vascular disease$problem,1
white blood cell count$laboratory_data$normal$modifier,1
mri$procedure$thoracic spine$anatomical_structure,1
diffusion capacity$body_measurement,1
her-2$laboratory_data$negative$modifier,5
replacement of the aortic valve$procedure,1
cells$anatomical_structure,1
meniscectomy$procedure,1
tremors$problem,2
tobacco abuse$problem,2
coronary artery$anatomical_structure$bypass grafting$procedure,1
left$modifier$lower$modifier$lobectomy$procedure,1
ckd$problem,2
continue$modifier$proscar$medicine,1
valvuloplasty$procedure,1
large$modifier$channel olympus videoscope$medical_device,1
stubbed$problem$left$modifier$3rd toe$anatomical_structure,1
fistula$procedure,1
neck$anatomical_structure$normal$modifier,1
flat adenomatous appearing polyps$problem$cecum$anatomical_structure,2
lisinopril$medicine,11
weight changes$finding,1
denies$modifier$chest$anatomical_structure$pain$problem,1
leukocyturia$problem,1
hepatitis$problem$a$modifier$b$modifier$serologies$laboratory_data,1
itp$problem,1
acute$modifier$periappendicitis$problem,1
vessels$anatomical_structure$normal$modifier,1
extremities$anatomical_structure$hip$anatomical_structure$clunks$finding,1
pneumonitis$problem,1
oliguric$problem,1
severe$modifier$mitral valve regurgitation$problem,1
right$modifier$thoracic outlet syndrome$problem,1
aspiration$procedure$hip$anatomical_structure,1
trazodone$medicine,1
mag$medicine$started$modifier,1
oropharynx$anatomical_structure$pink$modifier$moist$modifier,1
distended$problem$stomach$anatomical_structure,1
septic shock$problem,4
demented$problem,1
ij$anatomical_structure,1
breast$anatomical_structure$reduction$procedure,1
azotemia$problem,1
platinum$medicine,1
significant$modifier$skin$anatomical_structure$reaction$problem,1
adenomatous tissue$problem,1
stenosis$problem$circumflex$anatomical_structure,1
discomfort$problem,5
persisting$modifier$acidosis$problem,1
severe$modifier$pelvic pain$problem,1
segmental resection$procedure$descending$modifier$colon$anatomical_structure,1
fentanyl patch$medicine,1
facial droop$problem,1
reactive leukocytosis$problem,1
dysplasia$problem,1
embolized$procedure,1
bleeding$problem$significant$modifier,1
visual difficulty$problem,4
snoring$finding,1
phlebotomy$procedure,1
normal$modifier$tympanic membranes$anatomical_structure,1
white biopsies$procedure,1
stereotactic core needle biopsy$procedure,1
decubitus ulcers$problem,1
g3$finding,2
amlodipine$medicine,7
possible$modifier$gastritis$problem,1
malignant neoplasm$problem,1
creatinine level$laboratory_data,1
pulse$body_measurement$146$measurement_value,1
loss of memory$problem,1
medial sesamoid$anatomical_structure,1
left$modifier$hip$anatomical_structure$complications$problem,1
regular$modifier$medications$medicine,1
presumed$modifier$pulmonary embolus$problem,1
right$modifier$hemiparesis$problem,6
weight$body_measurement$7$measurement_value,1
bilateral$modifier$cephalic$anatomical_structure,1
trauma$problem,2
cecum$anatomical_structure,10
cystoscopy$procedure,4
pharyngitis$problem,2
residual$modifier$dcis$problem,1
hemoglobin$laboratory_data$dropping$modifier,1
posterior$modifier$wall$anatomical_structure$vagina$anatomical_structure,1
suspicious$modifier$findings$finding,1
ascites$problem,1
continue$modifier$neb treatment$procedure,1
possible$modifier$adenoid$anatomical_structure$hypertrophy$problem,1
rubbery white stroma$finding,1
superficial$modifier$tender burn$problem$right$modifier$thigh$anatomical_structure,1
weakness$finding,9
small bowel$anatomical_structure,1
audible murmurs$problem,1
left$modifier$upper$modifier$lingular$anatomical_structure,1
suicidal thoughts$problem,1
line$medical_device,4
bony abnormalities$problem,1
bone$anatomical_structure$scan$procedure,2
infected cellulitic$problem$right$modifier$arm$anatomical_structure,1
bnp$laboratory_data,2
perichondrium$anatomical_structure,1
hydrodissection$procedure,2
heart rate$body_measurement$75$measurement_value,1
direct visualization$procedure$rectum$anatomical_structure,1
swelling$problem$legs$anatomical_structure,1
external$modifier$hemorrhoids$problem,3
clostridium difficile$problem,1
pyuria$problem,1
diuretics$medicine,2
visual acuity$finding$right$modifier$eye$anatomical_structure,2
sinus bradycardia$finding,6
necrotic$problem$tissue$anatomical_structure$right$modifier$ankle$anatomical_structure,1
electrical cardioversion$procedure,1
possible$modifier$kci wound vac$medical_device,1
increased$modifier$left$modifier$arm$anatomical_structure$weakness$finding,1
mildly elevated$modifier$white blood cell count$laboratory_data,1
tetanus shot$medicine,1
tracheostomy placement$procedure,1
ent$anatomical_structure$unremarkable$modifier,1
nasal obstruction$problem$left-hand side$modifier,1
colorectal polyps$problem,1
acute$modifier$mi$problem,2
endometrial carcinoma$problem,2
oral iron$medicine,1
transfusions$procedure,1
protonix drip$medicine,1
electrolyte abnormality$problem,1
significant$modifier$dementia$problem,1
prior$modifier$deep venous thrombosis$problem,1
tygacil$medicine,1
pap smear$laboratory_data$normal$modifier,1
tikosyn$medicine,3
recent$modifier$negative$modifier$regadenoson myoview scan$procedure,1
flu shot$medicine,3
ptosis$problem$left$modifier,1
throat pack$medical_device,9
bilateral$modifier$lower$modifier$extremity$anatomical_structure$weakness$finding$improved$modifier,1
right-sided$modifier$heart failure$problem,1
abdomen$anatomical_structure$soft$modifier$hepatosplenomegaly$problem,1
inflammatory arthritis$problem,1
finger$anatomical_structure,1
slightly$modifier$icteric$problem$sclerae$anatomical_structure,1
monocyte$laboratory_data,2
fish oil$medicine,1
coronary artery bypass$procedure,3
avms$problem,1
negative$modifier$intestinal metaplasia$problem,1
cough$problem,17
second$modifier$sputum trap$medical_device,1
left$modifier$hip$anatomical_structure$orif$procedure,1
bleeders$medical_device,1
right$modifier$submandibular mass$problem,1
some$modifier$swelling$problem,1
started$modifier$prednisone$medicine,1
small-vessel$anatomical_structure$disease$problem,1
eye$anatomical_structure,14
thyroid gland$anatomical_structure,1
subarachnoid intraventricular bleed$problem,1
right$modifier$supraclavicular node$anatomical_structure,1
large$modifier$ulcer$problem,1
serum protein electrophoresis$procedure,1
pain$problem$chest$anatomical_structure,1
hypoxic$problem,1
uterine leiomyomata$problem,1
full$modifier$thyroid profile$laboratory_data,1
deformity$problem,2
intraabdominal organs$anatomical_structure,1
gold fiducial markers$medical_device,1
neutrophils$laboratory_data,5
normal$modifier$macula$anatomical_structure,1
ischemic st-t changes$problem,1
left$modifier$central$modifier$chest skin$anatomical_structure$punch biopsy$procedure,1
hiatal hernia$problem$small$modifier,1
increase$modifier$nucynta$medicine,1
systemic illnesses$problem,1
toprol-xl$medicine,1
bili$laboratory_data,1
prenatal vitamins$medicine,4
subumbilical transverse incision$procedure,1
extremities$anatomical_structure$long bone deformity$problem,1
flat$modifier$neck veins$anatomical_structure,1
acute$modifier$infection$problem,1
immature$finding$chorionic villi$anatomical_structure$lacking$modifier$pathologic abnormalities$problem,1
temperature$body_measurement$37.2$measurement_value,1
heart$anatomical_structure$catheterization$procedure,1
temporal paracentesis$procedure,1
loose bowel movements$problem,1
left$modifier$periaortic lymph node dissection$procedure,1
push fluids$medicine,1
diastolic abnormalities$problem,1
thumbs$anatomical_structure,1
cervical collar$medical_device,1
posterior$modifier$chamber$anatomical_structure$intraocular lens implant$procedure,1
sigmoid colon$anatomical_structure$unremarkable$modifier,1
iv decadron$medicine,1
tarsal plantar artery disease$problem,1
ossicles$anatomical_structure$normal$modifier$mobile$modifier,1
pulse$body_measurement$101$measurement_value$regular$modifier,1
avastin$medicine,1
continue$modifier$novolog$medicine,1
atrial rhythm$finding,1
needle$medical_device,7
nose$anatomical_structure$dry discharge$finding,1
neurocognitive deficits$problem$improving$modifier,1
zoloft$medicine,5
chem 7$laboratory_data,1
masses$problem,8
lose consciousness$problem,1
numbness$problem,2
continue$modifier$levothyroxine$medicine,1
drug abuse$problem,1
corneal edema$problem,1
esophageal varices$problem,1
p0$finding,3
productive sputum$problem,1
edema$problem,6
ear canal$anatomical_structure$infiltrated$procedure,1
vitamin$medicine,2
dilated funduscopy$procedure,1
lung$anatomical_structure$disease$problem,1
destructive lesion$problem$c2 vertebral body$anatomical_structure,1
pet scan$procedure,1
ablation$procedure,3
distal$modifier$esophagus$anatomical_structure$irritation$problem,1
atrovent$medicine,3
suction$procedure$tissue$anatomical_structure,1
blood pressure$body_measurement$101/74$measurement_value,1
norvasc$medicine,9
non-small-cell cancer$problem$right$modifier$upper$modifier$lobe$anatomical_structure,1
albuminuria$problem,1
mild$modifier$flow blood oozing$finding$incision site$anatomical_structure,1
hydralazine$medicine,2
b12$medicine,1
regular$modifier$insulin sliding scale$medicine,1
aching$problem$shoulder blades$anatomical_structure,1
alkaline phosphatase$laboratory_data,2
right$modifier$eye$anatomical_structure,2
profoundly$modifier$debilitated state$problem,1
chronic$modifier$pain$problem,7
chest$anatomical_structure$wheeze$problem,5
iv antibiotics$medicine,3
recent$modifier$flare$problem,1
congestive$modifier$heart$anatomical_structure$failure$problem,23
chest tube sites$anatomical_structure$well-healed$modifier,1
inflammation$problem,1
maxillary sinuses$anatomical_structure$thick mucus$finding,1
puncture$procedure$vein$anatomical_structure,1
failing$modifier$av$anatomical_structure$graft$procedure,1
hemosiderin$laboratory_data,1
prostate$anatomical_structure$surgery$procedure,3
prior$modifier$procedure$procedure,1
mucoid otitis media$problem,1
high$modifier$blood pressure$body_measurement,2
vasectomy$procedure,2
l3-l4 space$anatomical_structure,1
bronchodilators$medicine,3
ramus$anatomical_structure$lesion$problem,1
occluded$problem$svg$anatomical_structure,1
breath sounds$body_function,2
seminal vesicles$anatomical_structure$rapidarc technique$procedure,1
s1$body_function$normal$modifier,2
perineum$anatomical_structure$prepped and draped$procedure,3
nodes$anatomical_structure$negative$modifier,1
intubation$procedure,3
abdomen$anatomical_structure$protuberant$modifier$organomegaly$problem,1
wheezes$problem,3
persistent$modifier$back$anatomical_structure$pain$problem,1
fever$problem,45
complex mitral valve repair$procedure,1
stenting$procedure,4
benign$modifier$left$modifier$ovarian cyst$problem,1
jugular venous distention$problem,3
hernia operation$procedure,1
mild-to-moderate$modifier$gastritis$problem,1
nose$anatomical_structure$normal$modifier,3
worsening$modifier$hypernatremia$problem,1
back$anatomical_structure$cva$anatomical_structure$tenderness$problem,1
pilopine gel$medicine,4
rales$problem,3
intraocular lens implantation$procedure,1
ulcerative colitis$problem,1
prostate$anatomical_structure,1
z-line$anatomical_structure$irregular$modifier,2
hypothyroidism$problem$well controlled$modifier,1
